year,lgc_price,vintage
2025,41.03,August_24
2026,33.8,August_24
2027,29.36,August_24
2028,24.89,August_24
2029,21.16,August_24
2030,15.61,August_24
2031,10.57,August_24
2032,9.51,August_24
2033,8.46,August_24
2034,7.4,August_24
2035,6.34,August_24
2036,5.29,August_24
2037,4.23,August_24
2038,3.17,August_24
2039,2.11,August_24
2040,1.06,August_24
2041,1.06,August_24
2042,1.06,August_24
2043,1.06,August_24
2044,1.06,August_24
2045,1.06,August_24
2046,1.06,August_24
2047,1.06,August_24
2048,1.06,August_24
2049,1.06,August_24
2050,1.06,August_24
2051,1.06,August_24
2052,1.06,August_24
2053,1.06,August_24
2054,1.06,August_24
2055,1.06,August_24
2056,1.06,August_24
2057,1.06,August_24
2058,1.06,August_24
2059,1.06,August_24
2060,1.06,August_24
2024,45.6,Feb24
2025,40.1,Feb24
2026,33.1,Feb24
2027,22.9,Feb24
2028,20.3,Feb24
2029,17.6,Feb24
2030,15.0,Feb24
2031,10.0,Feb24
2032,9.0,Feb24
2033,8.0,Feb24
2034,7.0,Feb24
2035,6.0,Feb24
2036,5.0,Feb24
2037,4.0,Feb24
2038,3.0,Feb24
2039,2.0,Feb24
2040,1.0,Feb24
2041,1.0,Feb24
2042,1.0,Feb24
2043,1.0,Feb24
2044,1.0,Feb24
2045,1.0,Feb24
2046,1.0,Feb24
2047,1.0,Feb24
2048,1.0,Feb24
2049,1.0,Feb24
2050,1.0,Feb24
2051,1.0,Feb24
2052,1.0,Feb24
2053,1.0,Feb24
2054,1.0,Feb24
2055,1.0,Feb24
2056,1.0,Feb24
2057,1.0,Feb24
2058,1.0,Feb24
2059,1.0,Feb24
2060,1.0,Feb24
2025,26.7,Jan2025
2026,20.6,Jan2025
2027,17.1,Jan2025
2028,13.9,Jan2025
2029,11.8,Jan2025
2030,10.0,Jan2025
2031,10.0,Jan2025
2032,9.5,Jan2025
2033,8.5,Jan2025
2034,7.4,Jan2025
2035,6.3,Jan2025
2036,5.3,Jan2025
2037,4.2,Jan2025
2038,3.2,Jan2025
2039,2.1,Jan2025
2040,1.1,Jan2025
2041,1.1,Jan2025
2042,1.1,Jan2025
2043,1.1,Jan2025
2044,1.1,Jan2025
2045,1.1,Jan2025
2046,1.1,Jan2025
2047,1.1,Jan2025
2048,1.1,Jan2025
2049,1.1,Jan2025
2050,1.1,Jan2025
2051,1.1,Jan2025
2052,1.1,Jan2025
2053,1.1,Jan2025
2054,1.1,Jan2025
2055,1.1,Jan2025
2056,1.1,Jan2025
2057,1.1,Jan2025
2058,1.1,Jan2025
2059,1.1,Jan2025
2060,1.1,Jan2025
2026,18.6,Jul25
2027,15.5,Jul25
2028,11.4,Jul25
2029,10.0,Jul25
2030,9.2,Jul25
2031,8.5,Jul25
2032,7.8,Jul25
2033,7.1,Jul25
2034,6.2,Jul25
2035,5.4,Jul25
2036,4.5,Jul25
2037,3.7,Jul25
2038,2.8,Jul25
2039,2.0,Jul25
2040,1.1,Jul25
2041,1.1,Jul25
2042,1.1,Jul25
2043,1.1,Jul25
2044,1.1,Jul25
2045,1.1,Jul25
2046,1.1,Jul25
2047,1.1,Jul25
2048,1.1,Jul25
2049,1.1,Jul25
2050,1.1,Jul25
2051,1.1,Jul25
2052,1.1,Jul25
2053,1.1,Jul25
2054,1.1,Jul25
2055,1.1,Jul25
2056,1.1,Jul25
2057,1.1,Jul25
2058,1.1,Jul25
2059,1.1,Jul25
2060,1.1,Jul25
2025,25.9,May25
2026,21.63,May25
2027,15.59,May25
2028,13.43,May25
2029,11.57,May25
2030,9.67,May25
2031,8.81,May25
2032,7.95,May25
2033,7.1,May25
2034,6.24,May25
2035,5.38,May25
2036,4.52,May25
2037,3.67,May25
2038,2.81,May25
2039,1.95,May25
2040,1.09,May25
2041,1.09,May25
2042,1.09,May25
2043,1.09,May25
2044,1.09,May25
2045,1.09,May25
2046,1.09,May25
2047,1.09,May25
2048,1.09,May25
2049,1.09,May25
2050,1.09,May25
2051,1.09,May25
2052,1.09,May25
2053,1.09,May25
2054,1.09,May25
2055,1.09,May25
2056,1.09,May25
2057,1.09,May25
2058,1.09,May25
2059,1.09,May25
2060,1.09,May25
2025,35.6,Nov2024
2026,26.7,Nov2024
2027,22.7,Nov2024
2028,20.2,Nov2024
2029,16.5,Nov2024
2030,14.8,Nov2024
2031,10.6,Nov2024
2032,9.5,Nov2024
2033,8.5,Nov2024
2034,7.4,Nov2024
2035,6.3,Nov2024
2036,5.3,Nov2024
2037,4.2,Nov2024
2038,3.2,Nov2024
2039,2.1,Nov2024
2040,1.1,Nov2024
2041,1.1,Nov2024
2042,1.1,Nov2024
2043,1.1,Nov2024
2044,1.1,Nov2024
2045,1.1,Nov2024
2046,1.1,Nov2024
2047,1.1,Nov2024
2048,1.1,Nov2024
2049,1.1,Nov2024
2050,1.1,Nov2024
2051,1.1,Nov2024
2052,1.1,Nov2024
2053,1.1,Nov2024
2054,1.1,Nov2024
2055,1.1,Nov2024
2056,1.1,Nov2024
2057,1.1,Nov2024
2058,1.1,Nov2024
2059,1.1,Nov2024
2060,1.1,Nov2024
2026,12.4,Oct25
2027,10.9,Oct25
2028,8.0,Oct25
2029,6.0,Oct25
2030,4.8,Oct25
2031,4.5,Oct25
2032,4.1,Oct25
2033,3.7,Oct25
2034,3.3,Oct25
2035,3.0,Oct25
2036,2.6,Oct25
2037,2.2,Oct25
2038,1.8,Oct25
2039,1.5,Oct25
2040,1.1,Oct25
2041,1.1,Oct25
2042,1.1,Oct25
2043,1.1,Oct25
2044,1.1,Oct25
2045,1.1,Oct25
2046,1.1,Oct25
2047,1.1,Oct25
2048,1.1,Oct25
2049,1.1,Oct25
2050,1.1,Oct25
2051,1.1,Oct25
2052,1.1,Oct25
2053,1.1,Oct25
2054,1.1,Oct25
2055,1.1,Oct25
2056,1.1,Oct25
2057,1.1,Oct25
2058,1.1,Oct25
2059,1.1,Oct25
2060,1.1,Oct25
2027,6.5,Q1_26
2028,5.3,Q1_26
2029,4.1,Q1_26
2030,3.5,Q1_26
2031,3.3,Q1_26
2032,3.0,Q1_26
2033,2.8,Q1_26
2034,2.5,Q1_26
2035,2.3,Q1_26
2036,2.1,Q1_26
2037,1.8,Q1_26
2038,1.6,Q1_26
2039,1.3,Q1_26
2040,1.1,Q1_26
2041,1.1,Q1_26
2042,1.1,Q1_26
2043,1.1,Q1_26
2044,1.1,Q1_26
2045,1.1,Q1_26
2046,1.1,Q1_26
2047,1.1,Q1_26
2048,1.1,Q1_26
2049,1.1,Q1_26
2050,1.1,Q1_26
2051,1.1,Q1_26
2052,1.1,Q1_26
2053,1.1,Q1_26
2054,1.1,Q1_26
2055,1.1,Q1_26
2056,1.1,Q1_26
2057,1.1,Q1_26
2058,1.1,Q1_26
2059,1.1,Q1_26
2060,1.1,Q1_26
